Username,Email,Department,Employee Class,Title,Organization,Manager Name,User Status,AI Service (Normalized),AI Services,Total AI Services,Has AI Extensions Installed,Has AI Service License,Ai Service Event Count,Ai Service Connection Count,Ai Service File Upload Count,Ai Service Copy Paste Count,Ai Service PII Detection Count,Average Risk Score,Last Access Timestamp,Operating Systems,Endpoint Machine,AI Tool Vendor,AI Tool Category,AI Tool Region,AI Tool Data Location,Has BAA,Has DPA,Approved for Use,Risk Classification,Data Classification,Handles PHI,Handles PII,Handles Financial Data,Encryption Status,User Location,User Role,Access Level,Clearance Level,Training Completed,Last Certification Date,Consent Status,Data Retention Policy,Deletion Request Status,Sensitive Data Access Count,Policy Violations Count,Anomaly Flags,Incident Status,Vendor Risk Score,Vendor Assessment Date,SLA/SLO Status
morganramirez,alvarezsandra@customer.com,Engineering,Vendor,Furniture conservator/restorer,customer.com,Ashley Moore,Inactive,Gemini,"Gemini,Claude,ChatGPT",3,False,False,418,82,0,33,1,87.4,2026-01-02T10:14:00.589636Z,macOS 14,xK00-03485,Nvidia,Search,APAC,US-East,Yes,Yes,Approved,High,Internal,False,False,False,Encrypted at Rest,US-NY,Clinical,Admin,Secret,True,2026-01-08,Implied,7yr,Pending,129,12,Multiple Flags,,74,2026-01-20,Compliant
djoseph,monica23@customer.com,Sales,Full-Time,Theatre manager,customer.com,Richard Higgins,Terminated,Copilot,Copilot,1,False,False,432,99,9,37,1,85.1,2025-12-27T14:25:00.590330Z,Windows 10,Ls59-00422,Meta,Code Assistant,Global,Multi-Region,Pending,Pending,Approved,Low,Confidential,False,False,False,Both,APAC-SG,Finance,Admin,Top-Secret,True,2025-06-09,Implied,90d,,73,10,,,62,2026-01-20,At Risk
kellywoods,parkermelody@customer.com,Finance,Vendor,Clinical embryologist,customer.com,Ryan Cherry,Active,Perplexity,"Perplexity,Claude,Copilot",3,False,True,313,119,6,29,0,10.1,2025-12-28T11:06:00.591384Z,Windows 10,tv51-71760,Nvidia,Copilot,EU,EU-West,Yes,Pending,Under Review,Low,PHI,True,True,False,Encrypted at Rest,US-MA,Exec,Admin,Secret,True,2025-11-01,Withdrawn,90d,Pending,75,3,Multiple Flags,Under Investigation,5,2026-01-20,At Risk
courtneybennett,mortonjames@customer.com,Engineering,Intern,"Nurse, mental health",customer.com,Meghan Henderson,Inactive,Copilot,"Copilot,ChatGPT",2,True,True,248,65,0,33,5,56.9,2025-12-24T08:53:00.592572Z,Windows 10,wh53-49263,Meta,Copilot,APAC,Multi-Region,Pending,Yes,Under Review,Low,PII,False,True,False,,US-MA,Clinical,Admin,,True,2025-02-13,,90d,Completed,7,14,Geo Anomaly,Breach,4,2026-01-20,At Risk
mgoodwin,nsanders@customer.com,Legal,Intern,Civil Service fast streamer,customer.com,Brittany Hinton,Active,ChatGPT,"ChatGPT,Perplexity",2,False,True,176,89,2,0,1,81.9,2026-01-18T19:10:00.593517Z,Windows 11,Ru72-96687,Google,GenAI,EU,US-East,Yes,Pending,Restricted,Critical,PII,False,True,False,Encrypted in Transit,APAC-SG,Admin,Elevated,Top-Secret,True,2025-12-09,,1yr,Completed,66,4,,Under Investigation,47,2026-01-20,At Risk
mreid,petersonsydney@customer.com,Engineering,Intern,Furniture designer,customer.com,Renee Jones,Suspended,Perplexity,"Perplexity,Copilot,Claude",3,True,True,273,148,4,10,3,89.8,2025-12-22T10:16:00.594590Z,Windows 11,ta18-01320,OpenAI,Copilot,EU,US-West,No,Pending,Restricted,Low,Financial,False,True,True,Encrypted at Rest,APAC-SG,Admin,Standard,Top-Secret,True,2025-11-10,Explicit,90d,Pending,76,17,Geo Anomaly,Under Investigation,76,2026-01-20,At Risk
michelle27,gsantana@customer.com,HR,Intern,"Teacher, secondary school",customer.com,Wanda Burgess,Active,Bing,Bing,1,False,True,192,104,0,26,5,90.1,2026-01-07T08:44:00.595216Z,macOS 13,ML34-89676,Anthropic,GenAI,EU,US-East,Pending,Yes,Under Review,Low,PHI,True,True,False,Encrypted in Transit,APAC-SG,Finance,Admin,Confidential,True,2025-04-20,,1yr,Completed,36,11,Geo Anomaly,,62,2026-01-20,Compliant
yangkevin,cameron44@customer.com,HR,Full-Time,Music tutor,customer.com,Dustin Greer,Terminated,Bing,"Bing,ChatGPT,Claude",3,False,True,393,161,4,34,4,15.6,2025-12-30T00:02:00.596628Z,macOS 14,Tf00-76279,Google,Copilot,APAC,EU-West,Yes,Yes,Restricted,Critical,Public,False,False,False,Both,EU-DE,Exec,Admin,Top-Secret,True,2025-10-08,Withdrawn,1yr,Pending,193,6,Multiple Flags,,5,2026-01-20,Compliant
robert97,ewilliams@customer.com,HR,Intern,Advertising account planner,customer.com,Ashley Dunn,Suspended,Gemini,Gemini,1,True,True,34,106,4,18,4,13.4,2026-01-04T18:54:00.597410Z,Ubuntu 22.04,SD53-67109,Microsoft,Analytics,APAC,EU-West,Pending,,Restricted,High,Internal,False,False,False,Encrypted at Rest,EU-NL,Clinical,Admin,Top-Secret,False,2025-09-15,Implied,Indefinite,Completed,76,11,Geo Anomaly,Breach,28,2026-01-20,At Risk
debra94,vlloyd@customer.com,Engineering,Intern,Arboriculturist,customer.com,Richard Jones,Terminated,ChatGPT,"ChatGPT,Bing,Copilot",3,True,False,26,159,3,1,2,47.2,2025-12-24T14:13:00.598439Z,Ubuntu 22.04,Kn00-74089,Microsoft,Chat Assistant,US,EU-Central,Yes,Pending,Approved,Critical,PII,False,True,False,Encrypted at Rest,US-NY,IT,Elevated,Confidential,False,2025-04-19,Implied,30d,Pending,117,10,Geo Anomaly,Under Investigation,43,2026-01-20,At Risk
hhunter,bsnow@customer.com,R&D,Contractor,Child psychotherapist,customer.com,Jeremy Parks,Terminated,Claude,"Claude,Gemini,Copilot",3,True,True,466,47,7,22,3,42.7,2026-01-06T02:21:00.599345Z,Windows 11,hw07-54151,Google,Analytics,EU,Multi-Region,Yes,,Approved,High,Financial,False,True,True,Encrypted at Rest,APAC-SG,Admin,Privileged,,True,2025-10-15,Implied,Indefinite,Pending,156,2,Multiple Flags,Resolved,99,2026-01-20,At Risk
michael03,carlsondouglas@customer.com,R&D,Vendor,"Engineer, energy",customer.com,Jacob Johnson,Active,Perplexity,"Perplexity,Gemini,Bing",3,False,False,130,180,7,13,2,26.6,2026-01-20T13:57:00.600239Z,macOS 13,wT93-22717,Microsoft,Search,US,US-West,Yes,,Under Review,Low,PII,False,True,False,Encrypted in Transit,EU-DE,Admin,Privileged,,True,2025-04-30,Withdrawn,1yr,Completed,116,10,Excessive Upload,,67,2026-01-20,Compliant
levymichael,kenneth85@customer.com,Clinical,Intern,"Therapist, horticultural",customer.com,James Thomas,Active,Gemini,Gemini,1,False,True,428,51,4,43,5,73.6,2026-01-11T22:12:00.600940Z,macOS 14,sx23-58332,OpenAI,Analytics,Global,US-West,Yes,Pending,Approved,Critical,PHI,True,True,False,,EU-NL,Finance,Standard,Top-Secret,False,2025-07-02,,7yr,,21,2,Unusual Hours,,98,2026-01-20,Compliant
carolynlong,robertpierce@customer.com,R&D,Contractor,Chartered accountant,customer.com,Kendra Bennett,Terminated,ChatGPT,"ChatGPT,Bing,Gemini",3,True,True,127,125,3,8,2,93.4,2026-01-11T02:01:00.601963Z,Ubuntu 22.04,Ef06-57354,OpenAI,Copilot,EU,EU-West,,,Restricted,Medium,Internal,False,False,False,Encrypted at Rest,US-MA,Exec,Standard,Confidential,False,2025-04-02,Implied,90d,Pending,188,0,Multiple Flags,Breach,7,2026-01-20,Compliant
daniel92,alopez@customer.com,R&D,Intern,Ecologist,customer.com,Brenda Ford,Active,Gemini,"Gemini,Copilot,Claude",3,False,True,378,61,1,33,2,67.5,2026-01-14T03:27:00.602654Z,macOS 14,Da17-34079,OpenAI,Copilot,EU,US-West,Yes,Pending,Restricted,Critical,Internal,False,False,False,,US-CA,Admin,Standard,Confidential,True,2025-04-14,,Indefinite,Completed,54,7,Unusual Hours,Under Investigation,98,2026-01-20,At Risk
mackcristina,emccarthy@customer.com,Legal,Contractor,"Optician, dispensing",customer.com,Michael Smith,Terminated,Gemini,Gemini,1,True,False,250,116,4,0,1,55.6,2026-01-15T17:11:00.603733Z,macOS 14,ws68-96714,Meta,Analytics,Global,US-East,Pending,No,Prohibited,High,Confidential,False,False,False,Both,EU-DE,Clinical,Elevated,,False,2025-12-24,Implied,1yr,Pending,171,7,Excessive Upload,Resolved,86,2026-01-20,Compliant
johnsonlaura,david32@customer.com,HR,Full-Time,Patent examiner,customer.com,Christine Garcia,Suspended,Gemini,"Gemini,ChatGPT,Claude",3,False,True,251,160,0,1,1,4.5,2026-01-13T18:47:00.604604Z,Windows 10,Oi86-44759,Microsoft,Search,APAC,US-West,No,,Prohibited,High,Confidential,False,False,False,Both,US-CA,IT,Admin,Top-Secret,True,2025-03-21,,1yr,Completed,136,14,,,53,2026-01-20,At Risk
jamesbrittany,michael76@customer.com,Finance,Full-Time,"Investment banker, corporate",customer.com,Patrick Williams,Inactive,Perplexity,"Perplexity,Gemini,Claude",3,True,False,121,45,3,1,1,74.3,2025-12-25T17:32:00.605484Z,Windows 11,He93-05760,Meta,GenAI,APAC,Multi-Region,Yes,,Under Review,Critical,Confidential,False,False,False,Both,APAC-SG,Finance,Standard,,False,2025-10-13,Explicit,1yr,Pending,171,4,Geo Anomaly,Under Investigation,65,2026-01-20,At Risk
csmith,keymorgan@customer.com,Finance,Vendor,Holiday representative,customer.com,Janet Rivera,Suspended,Bing,"Bing,Perplexity",2,True,False,271,73,8,30,0,77.3,2026-01-02T21:51:00.606647Z,Windows 10,nl62-72852,Anthropic,Analytics,US,EU-Central,Pending,,Approved,Critical,Confidential,False,False,False,Encrypted at Rest,US-NY,Exec,Privileged,Confidential,False,2025-07-11,,1yr,,29,18,Excessive Upload,Under Investigation,76,2026-01-20,Breach
fsimmons,lauragonzales@customer.com,Sales,Intern,Theatre director,customer.com,Cody Brown,Inactive,Copilot,Copilot,1,True,True,289,39,5,23,2,62.6,2026-01-10T23:17:00.607491Z,macOS 14,Ws23-94918,Nvidia,Analytics,EU,US-East,No,Yes,Prohibited,High,Confidential,False,False,False,Encrypted at Rest,EU-NL,Finance,Privileged,Confidential,True,2025-11-15,,1yr,,135,5,,Under Investigation,75,2026-01-20,Compliant
oellis,thenry@customer.com,Sales,Vendor,"Engineer, structural",customer.com,Aaron Pena,Terminated,Copilot,"Copilot,Perplexity",2,True,False,398,183,4,16,4,52.7,2026-01-11T04:55:00.608219Z,macOS 14,oD21-63968,Google,GenAI,EU,Multi-Region,,Pending,Prohibited,Critical,PII,False,True,False,,EU-NL,Exec,Elevated,,False,2025-04-04,Implied,90d,Completed,90,20,Geo Anomaly,,94,2026-01-20,Breach
obrienchristopher,amanda54@customer.com,Clinical,Contractor,"Scientist, research (maths)",customer.com,Joseph Lopez,Suspended,Bing,Bing,1,True,False,121,190,7,32,5,10.0,2026-01-15T09:39:00.608932Z,Windows 10,Ew34-44864,Anthropic,Chat Assistant,APAC,EU-West,Pending,,Restricted,Medium,Public,False,False,False,Both,US-MA,Finance,Standard,Secret,True,2025-12-24,,7yr,Pending,198,20,Geo Anomaly,,75,2026-01-20,At Risk
torresandrea,csimpson@customer.com,Legal,Contractor,Psychiatrist,customer.com,Preston Gutierrez,Suspended,ChatGPT,"ChatGPT,Bing",2,False,True,21,20,9,22,2,0.4,2026-01-14T17:00:00.609819Z,Ubuntu 22.04,cl37-91686,Anthropic,GenAI,Global,US-East,Pending,,Under Review,Medium,PHI,True,True,False,Encrypted in Transit,EU-FR,Admin,Admin,Secret,True,2025-04-26,Implied,90d,,123,20,,,72,2026-01-20,Breach
davidpitts,virginia18@customer.com,R&D,Contractor,Travel agency manager,customer.com,Julia Walters,Suspended,ChatGPT,"ChatGPT,Perplexity,Claude",3,False,True,409,66,5,44,5,25.4,2026-01-12T22:08:00.610622Z,macOS 14,UA43-01912,Google,Analytics,EU,US-East,No,Yes,Restricted,Critical,Internal,False,False,False,,EU-FR,Admin,Admin,Confidential,False,2025-04-26,Implied,7yr,Completed,14,17,,Resolved,1,2026-01-20,Compliant
nichole08,martinezdeanna@customer.com,Security,Vendor,Systems analyst,customer.com,Diane Singh,Suspended,Bing,"Bing,Copilot,Perplexity",3,False,True,69,81,0,11,5,12.5,2026-01-10T19:55:00.611439Z,Windows 10,OE31-84535,Anthropic,Chat Assistant,US,EU-West,,Yes,Under Review,Medium,Public,False,False,False,,US-MA,Finance,Privileged,Secret,False,2025-05-11,,7yr,,7,14,Excessive Upload,Under Investigation,50,2026-01-20,Compliant
derricksmith,brenda02@customer.com,Legal,Full-Time,"Designer, fashion/clothing",customer.com,Daniel Herman,Active,Copilot,Copilot,1,True,True,206,157,10,0,2,45.6,2026-01-03T15:12:00.612212Z,macOS 14,wM79-33236,Anthropic,GenAI,US,Multi-Region,,Pending,Approved,Critical,Public,False,False,False,Both,US-NY,Clinical,Admin,,True,2025-09-06,Withdrawn,30d,,96,10,Unusual Hours,Under Investigation,21,2026-01-20,Compliant
glester,tracy40@customer.com,Finance,Contractor,Quarry manager,customer.com,Michele Underwood,Suspended,Bing,Bing,1,False,True,115,61,10,18,2,17.0,2026-01-14T03:53:00.613581Z,Windows 11,vC46-03053,Anthropic,Analytics,Global,Multi-Region,No,,Approved,High,PII,False,True,False,Encrypted at Rest,EU-NL,Finance,Elevated,Confidential,True,2025-10-06,Explicit,1yr,Completed,0,1,,,74,2026-01-20,Breach
jordanpowers,kellyamber@customer.com,Finance,Contractor,Dentist,customer.com,Andrew Perez,Terminated,Bing,Bing,1,False,False,364,63,2,23,4,21.7,2026-01-09T12:59:00.614607Z,macOS 14,CB51-05623,Nvidia,Chat Assistant,Global,US-East,,,Under Review,Low,PHI,True,True,False,Encrypted in Transit,EU-DE,Admin,Admin,Top-Secret,True,2025-03-16,Withdrawn,1yr,Completed,95,17,,Breach,31,2026-01-20,At Risk
gregory56,ortizjoseph@customer.com,IT,Intern,"Psychologist, counselling",customer.com,James Smith,Terminated,ChatGPT,"ChatGPT,Gemini,Perplexity",3,True,False,13,196,6,46,3,43.3,2026-01-17T16:38:00.615341Z,Ubuntu 22.04,lp29-82153,Anthropic,Code Assistant,EU,EU-West,,,Under Review,Medium,PII,False,True,False,Encrypted at Rest,US-NY,IT,Elevated,Secret,False,2025-01-28,Explicit,90d,Pending,45,18,Excessive Upload,Resolved,49,2026-01-20,Breach
jennifersimmons,nmckinney@customer.com,IT,Intern,Aid worker,customer.com,Chris Young,Terminated,Perplexity,Perplexity,1,False,False,192,186,3,22,1,13.2,2026-01-02T03:57:00.616733Z,Windows 10,at52-65476,Anthropic,Copilot,APAC,EU-Central,Yes,Yes,Prohibited,High,Internal,False,False,False,Encrypted in Transit,US-CA,Admin,Elevated,,True,2025-08-13,,1yr,Completed,188,9,Excessive Upload,,53,2026-01-20,At Risk
xmadden,bryantjennifer@customer.com,Finance,Intern,Logistics and distribution manager,customer.com,Dawn Becker DDS,Suspended,Perplexity,"Perplexity,Claude,Bing",3,False,True,450,96,5,24,3,51.2,2025-12-22T01:41:00.617547Z,Windows 10,nh43-88564,Meta,Code Assistant,EU,US-East,Yes,No,Approved,Medium,Financial,False,True,True,Encrypted in Transit,EU-DE,Clinical,Standard,,True,2025-08-27,Withdrawn,7yr,Pending,27,14,Excessive Upload,Resolved,86,2026-01-20,At Risk
brendacortez,sabrinalam@customer.com,Clinical,Contractor,Acupuncturist,customer.com,Mario Morris,Active,Claude,"Claude,ChatGPT,Perplexity",3,False,True,224,181,10,25,2,2.1,2026-01-17T02:57:00.618489Z,macOS 14,cC69-62029,Nvidia,GenAI,APAC,US-East,,Pending,Under Review,Low,Public,False,False,False,,EU-FR,Clinical,Privileged,Top-Secret,False,2025-03-09,,1yr,,58,17,Excessive Upload,Under Investigation,39,2026-01-20,Breach
frytimothy,chadboyle@customer.com,Finance,Vendor,Ecologist,customer.com,Jonathan Hogan,Active,Bing,Bing,1,False,False,284,23,4,30,1,81.4,2026-01-12T10:44:00.619477Z,Windows 10,BX96-64440,Google,Chat Assistant,US,US-West,No,Yes,Approved,Low,PII,False,True,False,,EU-NL,Clinical,Admin,Secret,False,2025-12-04,Explicit,30d,,58,15,Excessive Upload,Resolved,29,2026-01-20,Compliant
amanda85,janicereynolds@customer.com,Engineering,Intern,Accounting technician,customer.com,Heather Herring,Suspended,ChatGPT,ChatGPT,1,False,False,115,189,5,24,1,23.2,2025-12-23T08:20:00.620353Z,macOS 14,kR86-93058,Meta,Search,Global,EU-Central,No,Yes,Prohibited,Medium,PII,False,True,False,,US-CA,IT,Privileged,Top-Secret,False,2025-04-05,Withdrawn,7yr,Completed,72,3,Geo Anomaly,Resolved,16,2026-01-20,At Risk
courtney70,joshuaduffy@customer.com,Finance,Intern,Sales executive,customer.com,Jeffery Foster,Inactive,Claude,"Claude,Copilot,Bing",3,True,True,348,98,6,29,4,46.2,2025-12-22T20:14:00.621379Z,Ubuntu 22.04,tb44-65951,Google,Chat Assistant,APAC,Multi-Region,Pending,,Under Review,Medium,PII,False,True,False,Encrypted at Rest,US-MA,Finance,Privileged,Top-Secret,True,2025-07-30,,30d,Completed,197,1,Geo Anomaly,,34,2026-01-20,Compliant
james66,cterry@customer.com,Legal,Contractor,"Psychologist, occupational",customer.com,Erin Johnson,Active,Perplexity,Perplexity,1,False,True,119,11,0,24,4,0.5,2026-01-17T19:29:00.622059Z,Windows 11,xa78-20195,Microsoft,Chat Assistant,APAC,US-West,Yes,,Approved,High,Internal,False,False,False,Encrypted in Transit,EU-DE,Finance,Admin,,False,2025-02-15,Implied,7yr,,157,8,,Resolved,91,2026-01-20,At Risk
powersthomas,edwardsrebecca@customer.com,Legal,Vendor,Haematologist,customer.com,Eric Brown,Inactive,Gemini,"Gemini,ChatGPT,Copilot",3,True,True,139,6,2,39,5,13.6,2026-01-14T20:25:00.622877Z,macOS 13,SV22-70808,Google,Analytics,US,Multi-Region,Yes,,Approved,Low,PHI,True,True,False,Encrypted in Transit,EU-DE,Exec,Privileged,Confidential,False,2025-10-17,Withdrawn,7yr,,144,16,Excessive Upload,Under Investigation,59,2026-01-20,Compliant
wherring,castrolisa@customer.com,Legal,Vendor,Futures trader,customer.com,Kristen Johnson,Terminated,Bing,Bing,1,True,False,490,195,7,14,3,24.1,2026-01-05T23:58:00.623874Z,Windows 11,PY92-80513,Anthropic,Search,Global,EU-Central,No,Yes,Under Review,Medium,PII,False,True,False,Encrypted at Rest,US-MA,Admin,Privileged,,False,2025-07-16,Implied,7yr,Pending,173,6,Geo Anomaly,Breach,25,2026-01-20,Compliant
lisaboyd,thomaspeters@customer.com,R&D,Full-Time,Charity fundraiser,customer.com,Harold Hayes,Suspended,Gemini,"Gemini,Claude,Copilot",3,True,False,77,162,9,31,5,57.1,2026-01-14T19:39:00.624800Z,Windows 10,lU68-51250,Google,Analytics,Global,Multi-Region,No,Yes,Approved,Critical,Internal,False,False,False,Encrypted in Transit,EU-DE,Exec,Elevated,,False,2025-03-09,Withdrawn,1yr,Pending,175,6,Unusual Hours,Resolved,72,2026-01-20,At Risk
norma30,halelaura@customer.com,Engineering,Vendor,Tourism officer,customer.com,Jeremiah Munoz,Terminated,Copilot,"Copilot,Bing,ChatGPT",3,True,True,386,29,2,25,3,70.8,2026-01-15T03:22:00.625641Z,Windows 10,bD94-49762,Microsoft,Analytics,EU,US-East,,,Under Review,Critical,Financial,False,True,True,Encrypted in Transit,EU-FR,Finance,Privileged,Top-Secret,True,2025-11-27,Explicit,Indefinite,Completed,126,0,Unusual Hours,Breach,79,2026-01-20,At Risk
stacybrown,johnsonandrew@customer.com,HR,Full-Time,IT trainer,customer.com,Karen Hodge,Active,Gemini,Gemini,1,True,False,78,119,4,7,4,44.7,2025-12-24T07:43:00.626665Z,macOS 14,vw86-40811,Meta,Copilot,Global,US-West,Pending,Yes,Approved,High,Confidential,False,False,False,,US-MA,Exec,Admin,Top-Secret,False,2025-02-27,,30d,,111,19,Unusual Hours,Under Investigation,4,2026-01-20,Compliant
moorezachary,smithmatthew@customer.com,R&D,Contractor,Data processing manager,customer.com,Dana Koch,Active,Copilot,"Copilot,Perplexity,Bing",3,True,False,149,95,9,40,1,74.5,2026-01-03T22:04:00.627393Z,macOS 13,pO95-07603,Nvidia,Copilot,US,US-West,,Yes,Restricted,Medium,Internal,False,False,False,Both,US-MA,Exec,Admin,,False,2025-05-09,Explicit,Indefinite,,150,4,Geo Anomaly,,67,2026-01-20,Compliant
tammybell,kford@customer.com,Legal,Full-Time,Television production assistant,customer.com,Zoe Smith,Inactive,Perplexity,Perplexity,1,True,False,103,155,7,22,1,26.9,2025-12-24T03:32:00.628288Z,Windows 11,Nj58-00019,Google,Analytics,Global,US-West,Pending,Yes,Approved,Medium,Confidential,False,False,False,Both,US-MA,Clinical,Standard,Secret,True,2025-11-18,Implied,1yr,,131,17,Excessive Upload,Breach,12,2026-01-20,At Risk
afrench,jennifer25@customer.com,Sales,Vendor,"Engineer, technical sales",customer.com,Brent Huang,Active,Gemini,Gemini,1,False,False,89,75,3,40,3,67.4,2026-01-12T14:06:00.629053Z,Windows 10,zL37-63637,Meta,Search,US,EU-West,Pending,Pending,Approved,High,Financial,False,True,True,Encrypted in Transit,US-NY,Exec,Standard,Top-Secret,False,2025-02-15,Withdrawn,Indefinite,,64,10,Multiple Flags,Breach,58,2026-01-20,Breach
nicole58,rmcdowell@customer.com,Security,Vendor,Social researcher,customer.com,Jason Berg,Suspended,Gemini,Gemini,1,True,True,361,122,6,1,1,8.1,2026-01-18T09:10:00.630151Z,Windows 11,kv66-17972,Anthropic,GenAI,Global,Multi-Region,,Yes,Under Review,Low,Confidential,False,False,False,Both,EU-DE,Finance,Admin,,True,2025-07-23,Withdrawn,90d,,38,7,Excessive Upload,Under Investigation,24,2026-01-20,Breach
brittanyferrell,mahoneymichael@customer.com,HR,Full-Time,Materials engineer,customer.com,Tyler Thompson,Inactive,Perplexity,Perplexity,1,False,True,124,194,8,8,4,68.1,2025-12-29T07:34:00.631201Z,macOS 13,Bc95-46048,Meta,Chat Assistant,US,EU-Central,No,Yes,Prohibited,High,PHI,True,True,False,,US-CA,Finance,Admin,,True,2025-10-11,Explicit,Indefinite,,20,0,Unusual Hours,Breach,58,2026-01-20,Breach
